,fileName,text
0,Test113.jpg, 
1,Test440.jpg,"cK POy,,,"
2,Test1290.jpg,
3,Test1788.jpg, 
4,Test128.jpg,
5,Test979.jpg,"I Shise peur seat wind the same nga
Se ene cae
Teeny Eve"
6,Test183.jpg,"Pare

 

asst) PROBLEMS
‘eeu @
ar\gs"
7,Test946.jpg,"7

“Tam not free
while any woman
is unfree, even
when her shackles
are very different
from my own.”

AUDRE LORDE

| _

GH"
8,Test372.jpg,"GAY CULTURE IS SURVIVING
AND THRIVING. SOME
ACTIVISTS BELIEVE THE

RECENT RISE IN
HOMOPHOBIC VIOLENCE
MIGHT BE A GAUGE OF THE
SUCCESS OF POSITIVE GAY
IMAGES.

Lance Loup

uotePixel.con"
9,Test1872.jpg,"Being gay is like being

left handed. Some people
are, most people aren't
and nobody really knows
why. It’s not right or wrong,
eS Umea enses ey

2 Being Gay & Proud Quotes
www.geckoandfly. com

 

A TP, aT"
10,Test945.jpg,"HATE
Tr Has causeD 4 LOT
OF PROBLEMS IN THIS
WORLD, BUT IS HAS
NOT SOLVED ONE YET.

 

-Mava ANcELou"
11,Test526.jpg,"Nee tebe t
Dee a

(Opeth"
12,Test125.jpg,ICO LOR Ta
13,Test191.jpg,"JasonJ/

jaybs121 | 4]

©) Added Me

 

Everyone add my new
Snapchat « &y or comment
names below. I'll be posting
positive quotes every day ©
Igbtpride loveislove lgbt trans
transmatter transgender
transgirl transmale lesbian
lesbiansex gaypride gay bi
bisexualpride bisexual bipride
asexual asexualpride
pansexualpride pansexual
protecttranskids pride swag ftm
mitf"
14,Test1620.jpg,
15,Test624.jpg,"ACCEPTANCE
oF PORE

HEEN
ACCEPTANCE
FROM OTHERS."
16,Test145.jpg, 
17,Test843.jpg,
18,Test587.jpg,
19,Test3159.jpg,"GAY CULTURE IS SURVIVING
‘AND THRIVING. SOME
ACTIVISTS BELIEVE THE

RECENT RISE IN,
HOMOPHOBIC VIOLENCE
MIGHT BE A GAUGE OF THE
SUCCESS OF POSITIVE GAY
IMAGES.

ex tous"
20,Test2411.jpg,"ALL THAT MA

yrange"
21,Test227.jpg, 
22,Test107.jpg,"lesbianvenom:

lesbianvenom:

straighteners aren’t worth ur money i’ve been using one for three
weeks and i’m still definitely a lesbian

in all my 20 years of living this has been by far my best joke ever"
23,Test250.jpg,WWW.GDBLOG.NET
24,Test2114.jpg,"eens ener
arate
[iene Soper
ie eee"
25,Test581.jpg,"99

There are peop whole eae that Dw
ein brace for being pen) vupportice
of gy mariage.) apt 8h

All dee resp. fhurndly ditt fam

‘mit being bese Pina detent iran

being. Lave ts x huraan experirwce,
ota politica tateneen"
26,Test134.jpg,
27,Test1818.jpg,
28,Test160.jpg, 
29,Test126.jpg, 
30,Test161.jpg, 
31,Test522.jpg,"“The pressures on gay teens can
Pea eee
eet
Py ects

Ore eed
cared about, loved, and accepted

Sete toc

Soe et ino

erenee toed"
32,Test162.jpg, 
33,Test232.jpg, 
34,Test204.jpg, 
35,Test136.jpg, 
36,Test803.jpg,"inal yah
Pes ey"
37,Test2977.jpg, 
38,Test181.jpg,
39,Test3024.jpg,"ideo ld Ciena tar)
Ceres MD tad tae
Cee ees)
Cet eee esc
Ce eo Ru Pb SE
the press catch on to that because 13 Ue ta mee oct of 1992.""
Beets tp"
40,Test201.jpg,"Preriey
Prenities

© Added Me

Eveeyare 263 ey tee

 

 

ramet baton. 12 ba posting
ee ates wevry aay
pte lovee tare
srotle nampa?
ee aramale astann
lectisrass gayseite gay tt
tesenutotedy Boru Basie
tara atarangrge
amon parser!
rotectvarshida pride eng ht"
41,Test2616.jpg,"‘To be ofraid is
to behaveas

aiekeocic)

ince"
42,Test141.jpg, 
43,Test903.jpg,
44,Test2743.jpg,"ee eee eed
Chaliaheora tales tio oa
Sekt edtlaceiremstotald
os ea hae aa
Molo cet
eet ype
Runes ctibusatio!
Rete eer thes

eo a"
45,Test778.jpg,
46,Test3863.jpg,"bia |
COMIN
Seat
Pennies"
47,Test834.jpg,"eh time n
wom stands up
for herself, without
knowing it possibly.

 

 

 

without claiming it,
she stands up for

all women,

fava awottou"
48,Test3525.jpg,"Do you realize what you
say, when you sa"
49,Test154.jpg,"Few Say Deing LGNT 164 Negative
Factorin Thele tite

seasjeng Hide easter enn
me neta pty te

rein See

 

saver

cetien

Pewsey

 

rexuitinon en wee"
50,Test1856.jpg,"It’s funny how we know gay
people exist and we don't
have proof of God but we
deny gay people basic
human rights because

it might piss off God.

ce Being Gay & Proud Quotes
www geckoandfly!com
: ea | | ea i Bh"
51,Test422.jpg,"Sarg ae

 

oe PPM IN"
52,Test228.jpg, 
53,Test132.jpg, 
54,Test249.jpg,"as

i

ee
Sse ean? BES"
55,Test374.jpg,"Ce uated
Ce dita da goles
Pred ilies d
SS hated
ating a donut when
pert om

(O)eees eats"
56,Test400.jpg,"Being gay is like being

left handed. Some people
are, most people aren't
and nobody really knows
why. It’s not right or wrong,
eS Umea enses ey

2 Being Gay & Proud Quotes
www.geckoandfly. com

 

A TP, aT"
57,Test490.jpg,"ACCEPTANCE
OF YOURSELF
IS FAR MORE
IMP ORTANE

Tv
ACCEPTANCE
FROM OTHERS."
58,Test3798.jpg,
59,Test3985.jpg, 
60,Test1615.jpg,"Ny

poeta
Ee et etettad
pernerieyy Saeed
Peter ate
ere rene ete)
erat ated
enor eat
Paeenperre or is
penrepee here

Cerny"
61,Test417.jpg,"“The pressures on gay teens can
be overwhelming-to keep secrets,
tell lies, deny who you are, and try
'| to be who you're not. Remember:
you are special and worth being

‘ cared about, loved, and accepted
> | just as you are. Never, ever let
EO meee Cel Rela La

   

g Esa Ug"
62,Test237.jpg, 
63,Test3566.jpg,"Bere eR te Oe rad
Peri eta

 
 

aad

aS  & = sl"
64,Test188.jpg, 
65,Test243.jpg,
66,Test119.jpg,"@eeeo Verizon LTE 10:47 AM {© ¥ 34% >

x -168

| apologize for anything negative
I've said towards gays and for that
matter anyone. | was young,
ignorant, stupid, and in a bad
place. I've moved on and learned
from my mistakes and | am so
truly sorry to anyone | have
offended. | have nothing against
anyone or anything that promotes
equality. Sorry again

9

QIWJEWRITIY|]UY 1 }OyP

 

AJS|DIFIGIH] Jp KL

 

& ZXCVBNM &

 

123 @ GO space @ #"
67,Test1001.jpg,"When people ask
what I see in you,
I just smile and
look away because
I'm afraid if they knew,
they'd fall in love
with you too."
68,Test2424.jpg,"5 Dm not aR vard of
wih, 3 Dain"
69,Test614.jpg,"| learned
compassion from
being discriminated
against. Everything
bad that’s ever
happened to
me has taught
me compassion.

 

ELLEN DEGENERES"
70,Test1837.jpg,"KEEP CALM
PPS
WHO YOU WANT"
71,Test165.jpg,"=

esd
pea Diese tly #7)
Baa CORES )

Godt"
72,Test166.jpg, 
73,Test378.jpg, 
74,Test129.jpg,ehrcrieanias
75,Test3975.jpg,"Ra Pra
Soe Lanny"
76,Test2049.jpg,
77,Test489.jpg,"TMAY NOT BE THE SAME
CUAL NSE cic

= 4

ea) Rag Ne
DE AL"
78,Test2371.jpg,"When people ask
what I see in you,
T just smile and
look away because
I'm afraid if they knew,
they'd fall in love
with you too."
79,Test1767.jpg,"Sse LL
PUTS aU SOUL MM LL Tar
ANG LALAKI, MAGSUOT NG PANLALAKI.
THAT'S WHAT | BELIEVE.”"
80,Test536.jpg,"SST itt
vay

LAT
MU NT
INSPIRING”"
81,Test103.jpg,"Z lo
~ 160 YEARS OF ATLANTIC STORIES"
82,Test2007.jpg,"We are powerful
because we have
survived.

AUDRE LORDE"
83,Test198.jpg,"Anti-LGBT: States that have laws restricting teachers and staff from
talking about LGBT issues at school

Alabama
Arizona
Louisiana
Mississippt
Oklahoma
South Carolina
Texas

Utah i"
84,Test941.jpg,"TF Heatly Potter
faught us anything

Or}

BCR}
SH Kelley"
85,Test3177.jpg,"OYE
NAL

nen
a
ALlaaUsg

co)"
86,Test221.jpg, 
87,Test192.jpg, 
88,Test757.jpg,"rar)
Conrad
Paarl
Cranes)
Re iace
Gere
Gace
Tae

 

 

_—"
89,Test2455.jpg, 
90,Test164.jpg,
91,Test1644.jpg,"“| wish more teachers
could elaborate on it
[LGBTQ topics] and talk
about it more, instead of
like, two sentences and
then dismiss the subject.”

ELAINA
in What Do You Know?
Six-to Twelve-Year Olds Talk
‘About LGBTQ Topics
(A Welcoming Schoots Film)"
92,Test234.jpg, 
93,Test1122.jpg,"‘Lesher, author of ""Fair Plays How LGBT Athletes are Claiming their

itful Place in Sports,” defied the notion that sports are inheresithy
homophobic. Part of what is keeping gay athletes closeted, Zeigter sad, bs
the hyper heterosenism that exists in locker rooms, Negative talk about
ay’ people is not the issue. Instead, it's the demeaning talk about women."
94,Test353.jpg,"a

3
Whatis straight?A
dine canbe straight,
ora street, hut the
huniia heart, ob, 10,
dt'scurvedlikea
road through"
95,Test212.jpg,
96,Test2068.jpg,"WAOT HAVE p=
yin Ais

iy) TU) LEATiMe
LIL

ital"
97,Test1803.jpg, 
98,Test3827.jpg,"Being gay is not a crime

and itis not a sin. Stop using
God to justify your prejudice.
Religion is about loving one
ie Ola cey (Usa lee Cire
for an excuse to hate.

we Being Gay S Proud Quotes
www. geckoandfly.com
F aan i"
99,Test1889.jpg,"I wish miore teachers
‘eeaief elaborate on
ILGBTO topics} and talk
shout i tiore; instead of
ke, to sentences and
then amiss the subject.”"
100,Test1743.jpg,"She lust Lep? staring at
her,’ she lamented “Lite |
won't even there

‘The trouble with lexblan
love triangles fs you con't
tell which “she! and shich
‘her’ we're talting abou,

= Molly Ringle"
101,Test238.jpg,Be
102,Test1717.jpg,
103,Test3706.jpg,"‘Shine your soul with the same egoless humility
as the rainbow and to matter where you go
in this world or the next, love will find you,

(Gless

     

   
  

an f the Powers tbo -

si art by Sara’ L,: ———

———"
104,Test519.jpg,(6) dreamstime.com ID 145823917 © Barrirret
105,Test236.jpg,
106,Test2280.jpg,"Ba A
ie PS f
oe a Eo

c Caacns

‘ TOE
Gi a"
107,Test231.jpg,
108,Test245.jpg,"Anti-Bullying: States that have laws prohibiting bullying of students on
the bases of sexual orientation and gender identity

Arkansas
California
Cotorado
Connecticut
Mlinois

towa

Maine
Maryland
Massachusetts:
Minnesota
Nevada

New Hampshire
New Jersey
New York

North Carotina
Oregon

Rhode Istand
Vermont
Washington
Washington, DC

ay"
109,Test3512.jpg,"causes
isco tt

Daittent| |

Pe yes
Mera LATEST"
110,Test644.jpg,"THE BEAUTY OF
Sa
DANS) a3
UE EU ty
SSS

(ae ee dV"
111,Test151.jpg, 
